Postalcode,Borough,Neighborhood,Latitude,Longitude
"
M1ANot assigned

","
M2ANot assigned

",M9AEtobicoke(Islington Avenue),43.648690000000045,-79.38543999999996
"
M1BScarborough(Malvern / Rouge)

","
M2BNot assigned

",M9BEtobicoke(West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale),43.81023000000005,-79.22037999999998
"
M1CScarborough(Rouge Hill / Port Union / Highland Creek)

","
M2CNot assigned

",M9CEtobicoke(Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood),43.789480000000026,-79.17613999999998
"
M1EScarborough(Guildwood / Morningside / West Hill)

","
M2ENot assigned

",M9ENot assigned,43.76343000000003,-79.17819999999995
"
M1GScarborough(Woburn)

","
M2GNot assigned

",M9GNot assigned,43.767480000000035,-79.22828999999996
"
M1HScarborough(Cedarbrae)

","
M2HNorth York(Hillcrest Village)

",M9HNot assigned,43.74167202077636,-79.2325384426517
"
M1JScarborough(Scarborough Village)

","
M2JNorth York(Fairview / Henry Farm / Oriole)

",M9JNot assigned,43.738650000000064,-79.21698999999995
"
M1KScarborough(Kennedy Park / Ionview / East Birchmount Park)

","
M2KNorth York(Bayview Village)

",M9KNot assigned,43.648690000000045,-79.38543999999996
"
M1LScarborough(Golden Mile / Clairlea / Oakridge)

","
M2LNorth York(York Mills / Silver Hills)

",M9LNorth York(Humber Summit),43.698830000000044,-79.27911999999998
"
M1MScarborough(Cliffside / Cliffcrest / Scarborough Village West)

","
M2MNorth York(Willowdale / Newtonbrook)

",M9MNorth York(Humberlea / Emery),43.726420000000076,-79.23296999999997
"
M1NScarborough(Birch Cliff / Cliffside West)

","
M2NNorth York(Willowdale)South

",M9NYork(Weston),43.694720000000075,-79.26459999999997
"
M1PScarborough(Dorset Park / Wexford Heights / Scarborough Town Centre)

","
M2PNorth York(York Mills West)

",M9PEtobicoke(Westmount),43.73543000022667,-79.29755004090143
"
M1RScarborough(Wexford / Maryvale)

","
M2RNorth York(Willowdale)West

",M9REtobicoke(Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens),43.74860000000007,-79.29801999999995
"
M1SScarborough(Agincourt) 

","
M2SNot assigned

",M9SNot assigned,43.78626000000003,-79.28083999999996
"
M1TScarborough(Clarks Corners / Tam O'Shanter / Sullivan)

","
M2TNot assigned

",M9TNot assigned,43.78643000000005,-79.30155999999994
"
M1VScarborough(Milliken / Agincourt North / Steeles East / L'Amoreaux East)

","
M2VNot assigned

",M9VEtobicoke(South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens),43.648690000000045,-79.38543999999996
"
M1WScarborough(Steeles West / L'Amoreaux West)

","
M2WNot assigned

",M9WEtobicokeNorthwest(Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale),43.7988985090662,-79.31293882157318
"
M1XScarborough(Upper Rouge)

","
M2XNot assigned

",M9XNot assigned,43.80819333031593,-79.18967569403789
"
M1YNot assigned

","
M2YNot assigned

",M9YNot assigned,43.648690000000045,-79.38543999999996
"
M1ZNot assigned

","
M2ZNot assigned

",M9ZNot assigned,43.648690000000045,-79.38543999999996
